accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty
531033531,1,1,1,2,19,4,2,0,0,0,0,0,9,1,5,E01022435
531033531,1,2,2,2,17,4,3,0,0,1,0,0,9,1,5,E01022435
10297586,1,1,1,1,52,8,3,0,0,0,0,0,9,1,2,E01001191
10297586,2,2,2,2,36,7,2,0,0,1,0,0,9,1,3,E01001243
411022459,1,1,1,1,47,8,3,0,0,0,0,0,20,1,10,E01023607
411022459,2,2,1,1,41,7,3,0,0,0,0,0,9,3,6,E01025535
63B081521,1,1,1,1,57,9,3,0,0,0,0,0,4,-1,-1,-1
131104719,1,1,1,1,38,7,2,0,0,0,0,0,9,1,1,E01011864
10311873,1,1,1,1,23,5,3,0,0,0,0,0,3,1,6,E01002358
10331900,2,1,1,1,32,6,3,0,0,0,0,0,1,1,3,E01003099
10302952,1,1,3,2,35,6,3,1,1,0,0,0,0,1,4,E01033424
520202067,1,1,2,1,75,10,2,0,0,1,0,0,9,3,6,E01029153
052200121,2,1,1,2,30,6,3,0,0,0,0,0,9,2,7,E01012401
10322908,1,1,1,2,26,6,2,0,0,0,0,0,1,1,2,E01004402
201116215,2,1,3,1,79,11,3,6,9,0,0,0,0,1,8,E01009896
361089446,2,1,1,1,64,9,1,0,0,0,0,0,3,1,7,E01026755
10326068,2,1,1,1,26,6,3,0,0,0,0,0,3,1,2,E01004398
061033427,1,1,2,2,24,5,3,0,0,1,0,0,9,1,3,E01006034
101032689,1,3,1,2,24,5,3,0,0,0,0,0,9,-1,-1,-1
101032689,1,4,2,1,57,9,3,0,0,1,0,0,9,-1,-1,-1
101032689,1,5,2,2,54,8,3,0,0,2,0,0,9,-1,-1,-1
101032689,2,1,2,2,60,9,3,0,0,1,0,0,9,-1,-1,-1
101032689,2,2,1,1,59,9,3,0,0,0,0,0,9,-1,-1,-1
531052511,1,1,1,1,78,11,3,0,0,0,0,0,9,3,9,W01001575
531052511,1,2,2,2,79,11,3,0,0,1,0,0,9,3,9,W01001575
201025320,2,1,1,1,47,8,3,0,0,0,0,0,1,1,6,E01009968
131041402,1,1,2,1,22,5,3,0,0,2,0,0,9,1,1,E01011340
070411703,1,1,1,1,29,6,3,0,0,0,0,0,9,1,5,E01018626
161028314,2,1,3,2,54,8,2,10,9,0,0,0,0,2,5,E01013048
201130482,1,1,1,2,24,5,3,0,0,0,0,0,9,1,1,E01009346
